Run,Client,ClientId,BatchId,SampleId,OwnerSampleId,Replicate,PE,primers_errors,merge_maxdiffs,merge_maxdiffpct,merge_minovlen,ExpL,merge_minlen,merge_maxlen,filter_max_ee,denoise_alpha,denoise_minsize,tax_ID,tax_maxaccepts,tax_maxrejects,tax_maxhits,tax_qcov,tax_minwords,tax_wordlen
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074016,E1053.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074017,E1061.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074018,E1069.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074019,E1077.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074020,E1085.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074021,E1093.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074022,E1101.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074023,E1109.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074024,E1117.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074025,E1125.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074026,E1133.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074027,E1141.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074028,E1054.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074029,E1062.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074030,E1070.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074031,E1078.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074032,E1086.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074033,E1094.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074034,E1102.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074035,E1110.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
JV243.2,GoldZachary,zachary.gold@noaa.gov,JVB3041,S074036,E1118.SKQ2021,1,Y,0.15,50,50,16,313,298,328,0.5,5,8,0.7,0,3000,100,0.9,12,8
