carat,cut,color,depth,table,price,x,y,z
0.24,Very Good,I,62.3,57,336,3.95,3.98,2.47
0.32,Ideal,I,62,55.3,553,4.39,4.42,2.73
0.24,Premium,E,60.7,58,553,4.01,4.03,2.44
0.24,Very Good,D,61.5,60,553,3.97,4,2.45
0.26,Very Good,E,62.6,59,554,4.06,4.09,2.55
0.26,Very Good,E,63.4,59,554,4,4.04,2.55
0.26,Very Good,D,62.1,60,554,4.03,4.12,2.53
0.26,Good,E,57.9,60,554,4.22,4.25,2.45
0.24,Premium,G,62.3,59,554,3.95,3.92,2.45
0.24,Premium,H,61.2,58,554,4.01,3.96,2.44
0.24,Premium,H,60.8,59,554,4.02,4,2.44
0.63,Premium,E,60.9,60,2765,5.52,5.55,3.37
0.64,Ideal,G,61.9,56,2766,5.53,5.56,3.43
0.73,Very Good,H,60.4,59,2772,5.83,5.89,3.54
0.58,Ideal,G,61.5,55,2772,5.39,5.44,3.33
0.58,Ideal,F,61.7,56,2772,5.33,5.37,3.3
0.52,Ideal,F,61.3,55,2778,5.19,5.22,3.19
0.51,Ideal,F,62,57,2787,5.11,5.15,3.18
0.7,Very Good,H,60.5,60,2788,5.74,5.77,3.48
0.63,Premium,E,60.9,60,2789,5.55,5.52,3.37
0.76,Premium,I,58.8,59,2790,6,5.94,3.51
0.51,Ideal,D,61.7,56,2797,5.12,5.16,3.17
0.7,Fair,G,58.8,66,2797,5.81,5.9,3.44
0.57,Fair,E,58.7,66,2805,5.34,5.43,3.16
0.75,Very Good,H,60.6,58,2806,5.85,5.9,3.56
0.51,Ideal,F,62,57,2812,5.15,5.11,3.18
0.55,Very Good,D,61.5,56,2815,5.23,5.27,3.23
0.53,Ideal,E,61.9,55,2821,5.2,5.21,3.22
0.74,Ideal,I,60.8,57,2822,5.85,5.89,3.57
0.7,Ideal,H,61.6,57,2827,5.69,5.74,3.52
0.7,Ideal,H,62.3,55,2827,5.66,5.7,3.54
0.59,Ideal,E,62,56,2829,5.36,5.38,3.33
0.53,Ideal,F,60.9,57,2830,5.23,5.29,3.19
0.53,Ideal,F,61.8,57,2830,5.16,5.19,3.2
0.51,Very Good,D,59.9,58,2834,5.16,5.19,3.1
0.53,Ideal,F,61.4,57,2834,5.2,5.23,3.2
0.7,Premium,H,59.2,60,2840,5.87,5.78,3.45
0.52,Ideal,F,61.2,56,2841,5.19,5.21,3.18
0.31,Ideal,I,61.6,55,557,4.36,4.41,2.7
0.31,Ideal,I,61.3,56,557,4.36,4.38,2.68
0.31,Ideal,I,62.3,54,557,4.37,4.4,2.73
0.31,Ideal,I,62,54,557,4.37,4.4,2.72
0.31,Ideal,I,62.7,53,557,4.33,4.35,2.72
0.31,Ideal,I,62.2,53,557,4.36,4.38,2.72
0.53,Ideal,F,61.4,57,2860,5.23,5.2,3.2
0.71,Very Good,F,63.2,60,2862,5.65,5.61,3.56
0.56,Very Good,D,62,56,2866,5.25,5.3,3.27
0.56,Very Good,D,61.8,55,2866,5.27,5.31,3.27
0.7,Ideal,H,62.3,58,2866,5.66,5.7,3.54
0.71,Very Good,H,62.9,57,2867,5.67,5.69,3.57
0.71,Ideal,H,60.4,57,2867,5.78,5.81,3.5
0.52,Ideal,F,61.2,56,2867,5.21,5.19,3.18
0.7,Good,H,62.7,56,2877,5.6,5.66,3.53
0.7,Ideal,H,62,55,2881,5.74,5.71,3.55
0.54,Ideal,F,61.8,56,2882,5.23,5.26,3.24
0.66,Ideal,G,61.5,56,2890,5.61,5.58,3.44
0.7,Very Good,H,59.2,60,2893,5.87,5.78,3.45
0.53,Ideal,F,61.6,56,2896,5.18,5.24,3.21
0.7,Good,G,59.9,61,2899,5.75,5.81,3.46
0.53,Ideal,D,62.5,54,2905,5.16,5.21,3.24
0.72,Ideal,H,62.8,57,2907,5.68,5.72,3.58
0.71,Ideal,H,62.1,54,2918,5.7,5.76,3.56
0.53,Ideal,F,61.6,56,2922,5.24,5.18,3.21
0.71,Ideal,G,61.7,57,2930,5.75,5.7,3.53
0.7,Premium,G,62,61,2932,5.71,5.62,3.51
0.71,Very Good,H,62.7,57,2938,5.66,5.72,3.57
0.71,Very Good,H,62.7,59,2938,5.65,5.67,3.55
0.57,Very Good,D,60.4,57,2945,5.39,5.44,3.27
0.72,Ideal,H,62.2,56,2946,5.72,5.75,3.57
0.72,Ideal,H,62.5,57,2946,5.7,5.73,3.57
0.7,Ideal,H,61.2,57,2947,5.69,5.72,3.49
0.7,Ideal,H,60.5,58,2947,5.76,5.81,3.5
0.54,Ideal,F,61.6,55,2951,5.27,5.28,3.25
0.72,Ideal,H,62,55,2958,5.74,5.77,3.57
0.56,Very Good,D,60.1,58,2959,5.36,5.42,3.24
0.7,Ideal,I,61.8,56,2966,5.69,5.73,3.53
0.24,Ideal,G,62.4,56,559,3.97,3.99,2.48
0.24,Ideal,G,62.1,56,559,3.97,4,2.47
0.24,Ideal,G,62.2,56,559,4,4.04,2.5
0.24,Ideal,G,62,55,559,4.01,4.03,2.49
0.24,Ideal,G,62,56,559,3.97,4.01,2.47
0.25,Very Good,E,61.5,56,560,4.06,4.08,2.5
0.54,Ideal,F,61.6,55,2977,5.28,5.27,3.25
0.72,Ideal,H,59.9,59,2979,5.76,5.82,3.47
0.71,Ideal,G,61.7,57,2982,5.7,5.75,3.53
0.57,Good,E,59.1,65,2990,5.34,5.43,3.18
0.6,Ideal,G,62.1,56,3001,5.42,5.43,3.37
0.55,Ideal,F,61.2,54,3005,5.3,5.35,3.26
0.73,Ideal,H,61.6,57,3005,5.81,5.78,3.57
0.55,Premium,D,60.3,59,3006,5.34,5.3,3.21
0.61,Ideal,G,61.2,56,3008,5.46,5.48,3.35
0.71,Ideal,H,61.8,56,3014,5.7,5.75,3.54
0.7,Good,F,63.2,58,3018,5.58,5.62,3.54
0.55,Ideal,F,61.2,54,3032,5.35,5.3,3.26
0.7,Very Good,G,63.3,57,3037,5.59,5.63,3.55
0.57,Ideal,F,61.1,55,3057,5.36,5.44,3.3
0.74,Very Good,H,62.4,57,3061,5.76,5.81,3.61
0.71,Fair,G,62.8,57,3062,5.67,5.57,3.53
0.71,Good,G,62.7,61,3072,5.64,5.68,3.55
0.7,Very Good,G,63.1,56,3073,5.64,5.67,3.57
0.7,Ideal,G,61.6,55,3073,5.72,5.75,3.53
0.62,Premium,E,61.9,59,3073,5.62,5.5,3.44
0.72,Ideal,H,62.2,57,3075,5.72,5.75,3.57
0.6,Ideal,E,62.5,53.7,3082,5.35,5.43,3.38
0.6,Ideal,E,62,53.7,3082,5.4,5.44,3.36
0.53,Ideal,E,61.8,55,3084,5.19,5.24,3.22
0.61,Ideal,E,62.2,56,3084,5.43,5.47,3.39
0.58,Ideal,F,61.7,55,3090,5.36,5.39,3.31
0.77,Good,H,63.1,57,3096,5.83,5.86,3.69
0.52,Ideal,E,61.8,55,3097,5.19,5.2,3.21
0.53,Ideal,D,61.6,55,3097,5.21,5.27,3.23
0.71,Very Good,F,63.3,58,3104,5.67,5.64,3.58
0.7,Premium,G,61.2,56,3105,5.75,5.68,3.5
0.7,Premium,F,61.9,59,3109,5.67,5.6,3.49
0.7,Ideal,G,62.3,57,3123,5.61,5.65,3.51
0.72,Ideal,H,61.4,56,3124,5.79,5.77,3.55
0.52,Ideal,E,61.8,55,3125,5.2,5.19,3.21
0.57,Very Good,D,62.8,56,3126,5.27,5.31,3.32
0.57,Ideal,D,61.6,56,3126,5.33,5.35,3.29
0.72,Premium,H,61.4,58,3137,5.75,5.78,3.54
0.71,Ideal,H,61.1,56,3137,5.78,5.81,3.53
0.54,Ideal,D,61.4,58,3139,5.28,5.25,3.23
0.74,Premium,G,61.2,59,3145,5.84,5.79,3.56
0.58,Ideal,D,61.6,60,3154,5.34,5.35,3.29
0.63,Ideal,E,62.4,56,3161,5.48,5.52,3.43
0.7,Ideal,G,62.8,57,3165,5.63,5.68,3.55
0.71,Ideal,G,62.1,56,3167,5.72,5.84,3.59
0.7,Ideal,H,60.2,57,3175,5.78,5.82,3.49
0.26,Very Good,F,61.3,58,562,4.13,4.16,2.54
0.67,Very Good,G,62,56,3178,5.6,5.62,3.48
0.72,Ideal,H,60.8,58,3180,5.77,5.8,3.52
0.72,Ideal,H,61.8,55,3180,5.74,5.78,3.56
0.72,Ideal,H,61.5,57,3180,5.74,5.76,3.54
0.63,Ideal,E,61.1,58,3181,5.49,5.54,3.37
0.8,Ideal,I,61.7,56,3181,5.98,5.92,3.67
0.75,Good,G,58.4,56,3188,5.98,6.06,3.52
0.54,Premium,D,61.4,57.5,3194,5.25,5.28,3.23
0.51,Ideal,E,61.3,56,3197,5.13,5.21,3.17
0.7,Very Good,F,63.3,62,3204,5.67,5.57,3.56
0.7,Premium,F,63,60,3204,5.62,5.59,3.53
0.58,Ideal,D,60.6,57,3206,5.38,5.41,3.27
0.7,Good,F,59.9,62,3206,5.69,5.74,3.42
0.7,Very Good,G,62.4,59,3208,5.63,5.66,3.52
0.71,Ideal,G,62.6,56,3210,5.65,5.69,3.55
0.61,Ideal,E,59.9,61,3212,5.5,5.55,3.31
0.52,Ideal,D,62,57,3218,5.15,5.17,3.2
0.73,Ideal,H,62.1,56,3220,5.75,5.8,3.59
