carat,cut,color,depth,table,price,x,y,z
0.29,Premium,I,62.4,58,334,4.2,4.23,2.63
0.22,Fair,E,65.1,61,337,3.87,3.78,2.49
0.23,Very Good,E,63.8,55,352,3.85,3.92,2.48
0.3,Very Good,J,62.2,57,357,4.28,4.3,2.67
0.23,Very Good,D,60.5,61,357,3.96,3.97,2.4
0.26,Very Good,D,60.8,59,403,4.13,4.16,2.52
0.26,Good,D,65.2,56,403,3.99,4.02,2.61
0.25,Very Good,E,63.3,60,404,4,4.03,2.54
0.22,Premium,E,61.6,58,404,3.93,3.89,2.41
0.22,Premium,D,59.3,62,404,3.91,3.88,2.31
0.7,Ideal,G,61.6,56,2757,5.7,5.67,3.5
0.71,Very Good,E,62.4,57,2759,5.68,5.73,3.56
0.7,Good,E,57.5,58,2759,5.85,5.9,3.38
0.75,Premium,G,61.7,58,2760,5.85,5.79,3.59
0.9,Premium,I,63,58,2761,6.16,6.12,3.87
0.73,Ideal,F,62.6,56,2762,5.77,5.74,3.6
0.73,Ideal,F,62.7,53,2762,5.8,5.75,3.62
0.71,Ideal,G,62.4,54,2762,5.72,5.76,3.58
0.7,Ideal,E,60.7,58,2762,5.73,5.76,3.49
0.7,Very Good,F,61.7,63,2762,5.64,5.61,3.47
0.7,Fair,F,64.5,57,2762,5.57,5.53,3.58
0.7,Fair,F,65.3,55,2762,5.63,5.58,3.66
0.7,Premium,F,61.6,60,2762,5.65,5.59,3.46
0.77,Ideal,H,62,56,2763,5.89,5.86,3.64
0.7,Very Good,E,62.6,60,2765,5.62,5.65,3.53
0.71,Premium,G,60.9,57,2766,5.78,5.75,3.51
0.71,Premium,G,59.8,56,2766,5.89,5.81,3.5
0.7,Very Good,D,61.8,55,2767,5.68,5.72,3.52
0.71,Premium,D,62.5,60,2770,5.65,5.61,3.52
0.73,Premium,G,61.4,59,2770,5.83,5.76,3.56
0.73,Premium,G,60.7,58,2770,5.87,5.82,3.55
0.73,Premium,G,59.2,59,2770,5.92,5.87,3.49
0.71,Ideal,G,61.9,57,2771,5.73,5.77,3.56
0.71,Good,E,59.2,61,2772,5.8,5.88,3.46
0.7,Premium,D,58,62,2773,5.87,5.78,3.38
0.83,Good,I,64.6,54,2774,5.85,5.88,3.79
0.74,Very Good,F,61.3,61,2775,5.8,5.84,3.57
0.72,Very Good,G,63.7,56.4,2776,5.62,5.69,3.61
0.71,Premium,E,62.7,58,2776,5.74,5.68,3.58
0.71,Ideal,E,62.2,57,2776,5.79,5.62,3.55
0.72,Good,G,59.7,60.5,2776,5.8,5.84,3.47
